"Call Number","PLACE_CODE","BEGIN_PUB_DATE","Brittle","Age","Region"
"F1783.M38 G643","ncu",1953,"0",68,"North America"
"F1787 .L57 1987","nbu",1987,"0",34,"North America"
"F1787.5 .M34 1999","kyu",1999,"0",22,"North America"
"F1788 .C465 2011","enk",2011,"0",10,"Europe"
"F1788 .H57 1981","nju",1981,"0",40,"North America"
"F1789.J4 L48 1993","flu",1993,"0",28,"North America"
"F1789.N3 H68 1998","lau",1998,"0",23,"North America"
"F1874 .B8 1997","nyu",1997,"0",24,"North America"
"F1875 .O88 2011","alu",2011,"0",10,"North America"
"F1886 .H873","enk",1939,"1",82,"Europe"
"F1896 .N4 H48","ctu",1981,"0",40,"North America"
"F1923 .F5 1990","tnu",1990,"0",31,"North America"
"F1923 .K56 2001","gau",2001,"0",20,"North America"
"F1923 .S87 1970","lau",1970,"0",51,"North America"
"F1928 .F47 1987","enk",1987,"0",34,"Europe"
"F1928.2 .W55 1989","nyu",1989,"0",32,"North America"
"F1934 .B44 1981","cou",1981,"0",40,"North America"
"F1934 .W5","nyu",1969,"0",52,"North America"
"F1938 .R6","wau",1964,"1",57,"North America"
"F1938.45 .F84","dcu",1975,"0",46,"North America"
"F1938.55 .M33","nyu",1971,"0",50,"North America"
"F1941.A1 F73 1997","dr",2003,"0",18,"West Indies"
"F1969 .R65 2010","alu",2010,"0",11,"North America"
"F1975 .A93 2007","ncu",2007,"0",14,"North America"
"F1976 .L48 1975","nyu",1975,"1",46,"North America"
"F1976 .P58 1986","mau",1986,"0",35,"North America"
"F1976 .P585 1997","mnu",1997,"0",24,"North America"
"F1981.S15 L3","nyu",1971,"0",50,"North America"
"F1981.V5 A95 2011","nju",2011,"0",10,"North America"
"F2041 .L73 2011","inu",2011,"0",10,"North America"
"F2056.8 .B87 1988","nyu",1988,"0",33,"North America"
"F2056.8 .I56 1983","mau",1985,"0",36,"North America"
"F2106 .Y64 1993","dcu",1993,"0",28,"North America"
"F2131 .A96","nyu",1960,"0",61,"North America"
"F2131 .B84","nyu",1972,"0",49,"North America"
"F2131 A47 1983","ctu",1983,"0",38,"North America"
"F2141.Z9 S27 1993","enk",1993,"0",28,"Europe"
"F2169 .T67 2006","nyu",2006,"0",15,"North America"
"F2175 .R49 1992","enk",1992,"0",29,"Europe"
"F2178.U6 C67 1985","nyu",1985,"0",36,"North America"
"F2178.U6 M87 1990","nyu",1990,"0",31,"North America"
"F2178.U6 T7343 1994","cau",1994,"0",27,"North America"
"F2183 .A42 1996","pau",1996,"0",25,"North America"
"F2183 .C66 1984","pau",1984,"0",37,"North America"
"F2183 .S48 1998","nyu",1998,"0",23,"North America"
"F2191.J4 F33 1998","nyu",1998,"0",23,"North America"
"F2205 .L33","mau",1940,"1",81,"North America"
"F2212 .I52","pe",2005,"0",16,"South America"
"F2221 .H3","nyu",1967,"0",54,"North America"
"F2229 .A56 1986","cau",1986,"0",35,"North America"
"F2229 .H46 2013","nmu",2013,"0",8,"North America"
